Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Stroke,Severe headache,Unexplained bleeding,Fear,Sneezing,Constipation,Frequent urination,Frequent infections,Fatigue,Vomiting,Diarrhea,Skin infections,Bone pain,Mucus production,Swelling,Numbness,Shortness of breath,Anemia
Chronic Obstructive Pulmonary Disease,Pneumonia,Throbbing pain,Staring spells,Sneezing,Nosebleeds,Loss of taste,Neck stiffness,Nausea,Constipation,Butterfly-shaped rash,Vomiting,Slight fever,Diarrhea,Bloating,Tenderness,Numbness,Shortness of breath
Osteoporosis,Inability to defecate,Burning,Nausea,Nosebleeds,Frequent infections,Fatigue,Shortness of breath,Receding gums,Stiff joints,Swelling,Bone fractures,Persistent cough,Tophi,Sensitivity to light,Loss of taste,Hunger,Gas
Peptic Ulcer,Redness,Swollen joints,Blood in stool,Stooped posture,Bleeding mole,Difficulty sleeping,Nausea,Increased mucus production,Change in bowel habits,Increased thirst,Unexplained fevers,Reduced appetite,Vomiting,Chest discomfort,Bloating,Shortness of breath,Hunger
Migraine,Unexplained bleeding,Soreness,Fear,Throbbing pain,Aura,Nausea,Increased mucus production,Tremor,Neck stiffness,Frequent urination,Unexplained fevers,Reduced appetite,Vomiting,Receding gums,Bloating,Bone pain,Bone fractures
Pancreatitis,Bowel issues,Soreness,Swollen joints,Sneezing,Increased mucus production,Neck stiffness,Unexplained fevers,Reduced appetite,Vomiting,Change in existing mole,Diarrhea,Problems with words,Bone pain,Swelling,Bloating,Blisters,Shortness of breath
Heart Disease,Stooped posture,Rash,Nausea,Change in bowel habits,Loss of smell,Jaw pain,Unexplained fevers,Withdrawal from work,Slight fever,Receding gums,Bloating,Swelling,Bone pain,Numbness,Shortness of breath,Anemia,Gas
Irritable Bowel Syndrome,Severe headache,Soreness,Nausea,Pain during urination,Mild fever,Reduced appetite,Fatigue,Vomiting,Loss of height,Diarrhea,Bloating,Difficulty thinking,Mucus production,Morning stiffness,Mouth sores,Fullness,Anemia
Appendicitis,Stooped posture,Burning,Nausea,Hard lumps,Constipation,Frequent urination,Unconsciousness,Fatigue,Easy bruising,Vomiting,Chest discomfort,Bloating,Swelling,Numbness,Shortness of breath,Anemia,Hunger
Crohn's Disease,Severe headache,Redness,Pneumonia,Change in bowel habits,Unexplained fevers,Vomiting,Slight fever,Diarrhea,Difficulty performing familiar tasks,Bloating,Receding gums,Swelling,Tenderness,Tophi,Anemia,Hunger,Gas
Parkinson's Disease,Redness,Blood in stool,Fear,Throbbing pain,Staring spells,Burning,Nausea,Tremor,Frequent urination,Itching,Tender abdomen,Swelling,Difficulty swallowing,Tophi,Shortness of breath,Hunger,Gas
Hepatitis B,Redness,Blood in stool,Stooped posture,Bleeding mole,Nausea,Loss of smell,Change in existing mole,Loss of height,Itching,Vomiting,Difficulty thinking,Swelling,Diarrhea,Numbness,Blisters,Shortness of breath,Sore that doesn’t heal
Stroke,Severe headache,Redness,Stooped posture,Pneumonia,Nausea,Nosebleeds,Frequent urination,Unconsciousness,Itching,Diarrhea,Bloating,Swelling,Tophi,Blisters,Shortness of breath,Anemia,Gas
Multiple Sclerosis,Redness,Bowel issues,Swollen joints,Pneumonia,Difficulty sleeping,Rapid pulse,Increased mucus production,Nosebleeds,Constipation,Fullness,Reduced appetite,Itching,Vomiting,Diarrhea,Bloating,Difficulty swallowing,Shortness of breath
Melanoma,Redness,Bleeding mole,Aura,Difficulty sleeping,Staring spells,Sneezing,Nausea,Reduced appetite,Itching,Change in existing mole,Diarrhea,Vomiting,Tenderness,Swelling,Bloating,Anemia,Sore that doesn’t heal
Chronic Obstructive Pulmonary Disease,Severe headache,Swollen joints,Throbbing pain,Difficulty sleeping,Rash,Increased mucus production,Nosebleeds,Nausea,Vomiting,Chest discomfort,Diarrhea,Bloating,Mucus production,Body aches,Shortness of breath,Anemia,Hunger
Pneumonia,Severe headache,Unexplained bleeding,Soreness,Pneumonia,Nausea,Increased mucus production,Pain during urination,Fatigue,Easy bruising,Vomiting,Itching,Diarrhea,Bloating,Swelling,Sensitivity to light,Shortness of breath,Gas
Diabetes,Change in bowel habits,Rapid pulse,Hard lumps,Increased thirst,Frequent urination,Coughing up blood,Misplacing things,Loss of automatic movements,Fatigue,Vomiting,Irregular heartbeat,Diarrhea,Difficulty thinking,Mucus production,Numbness,Shortness of breath,Hunger
Melanoma,Redness,Unexplained bleeding,Swollen joints,Blood in stool,Bleeding mole,Change in bowel habits,Vomiting,Chest discomfort,Receding gums,Bloating,Swelling,Tenderness,Bone fractures,Diarrhea,Shortness of breath,Anemia,Sore that doesn’t heal
Epilepsy,Severe headache,Bleeding mole,Staring spells,Nausea,Increased mucus production,Tremor,Frequent urination,Unconsciousness,Unexplained fevers,Vomiting,Chest discomfort,Diarrhea,Bloating,Swelling,Mucus production,Tophi,Gas
Migraine,Stooped posture,Pneumonia,Aura,Nausea,Chest pain,Nosebleeds,Increased thirst,Depression,Fatigue,Vomiting,Slight fever,Diarrhea,Hair loss,Difficulty thinking,Tophi,Sensitivity to light,Thickened skin
Epilepsy,Unexplained bleeding,Bowel issues,Bleeding mole,Burning,Sneezing,Increased mucus production,Unexplained fevers,Reduced appetite,Vomiting,Chest discomfort,Diarrhea,Problems with words,Loss of height,Blisters,Shortness of breath,Thickened skin,Hunger
Leukemia,Blood in stool,Swollen joints,Throbbing pain,Nausea,Nosebleeds,Reduced appetite,Itching,Vomiting,Diarrhea,Skin infections,Bone pain,Difficulty performing familiar tasks,Problems with words,Morning stiffness,Swelling,Bloating,Shortness of breath
Parkinson's Disease,Severe headache,Swollen joints,Redness,Difficulty sleeping,Increased mucus production,Reduced appetite,Vomiting,Itching,Diarrhea,Difficulty performing familiar tasks,Difficulty thinking,Tender abdomen,Bone fractures,Swelling,Tenderness,Shortness of breath,Hunger
Ulcerative Colitis,Inability to defecate,Blood in stool,Soreness,Stooped posture,Throbbing pain,Staring spells,Nausea,Tremor,Neck stiffness,Vomiting,Shortness of breath,Diarrhea,Receding gums,Numbness,Blisters,Loss of taste,Gas
Gout,Blood in stool,Pneumonia,Sneezing,Anemia,Increased mucus production,Hard lumps,Nausea,Increased thirst,Reduced appetite,Chest discomfort,Vomiting,Diarrhea,Bloating,Swelling,Body aches,Shortness of breath,Hunger
Leukemia,Redness,Blood in stool,Bleeding mole,Difficulty sleeping,Hard lumps,Nosebleeds,Blisters,Change in existing mole,Diarrhea,Bone pain,Mucus production,Swelling,Difficulty swallowing,Tophi,Shortness of breath,Anemia,Hunger
Parkinson's Disease,Blood in stool,Nausea,Tremor,Increased thirst,Frequent urination,Loss of automatic movements,Withdrawal from work,Itching,Chest discomfort,Diarrhea,Problems with words,Swelling,Vomiting,Bloating,Difficulty swallowing,Blisters,Shortness of breath
Gastritis,Severe headache,Throbbing pain,Sneezing,Nausea,Nosebleeds,Increased mucus production,Coughing up blood,Reduced appetite,Vomiting,Change in existing mole,Bloating,Tenderness,Swelling,Blisters,Anemia,Hunger,Gas
Parkinson's Disease,Blood in stool,Fear,Throbbing pain,Change in bowel habits,Tremor,Neck stiffness,Itching,Loss of height,Receding gums,Tender abdomen,Bone pain,Bloating,Vomiting,Difficulty swallowing,Shortness of breath,Thickened skin,Anemia
Lymphoma,Blood in stool,Bowel issues,Soreness,Staring spells,Anemia,Frequent urination,Reduced appetite,Itching,Vomiting,Diarrhea,Difficulty performing familiar tasks,Bone pain,Change in existing mole,Bloating,Difficulty walking,Shortness of breath,Hunger
Pancreatitis,Redness,Swollen joints,Burning,Nausea,Anemia,Increased mucus production,Misplacing things,Constipation,Itching,Vomiting,Loss of height,Tender abdomen,Bloating,Tophi,Shortness of breath,Thickened skin,Hunger
Anemia,Blood in stool,Throbbing pain,Nausea,Tremor,Nosebleeds,Misplacing things,Constipation,Vomiting,Itching,Chest discomfort,Difficulty performing familiar tasks,Difficulty thinking,Bone fractures,Bloating,Diarrhea,Numbness,Shortness of breath
Chronic Obstructive Pulmonary Disease,Severe headache,Blood in stool,Nausea,Increased mucus production,Frequent urination,Itching,Vomiting,Receding gums,Diarrhea,Difficulty thinking,Mucus production,Swelling,Bloating,Shortness of breath,Hunger,Sore that doesn’t heal,Gas
Cancer,Inability to defecate,Unexplained bleeding,Swollen joints,Bleeding mole,Throbbing pain,Staring spells,Unexplained fevers,Chest discomfort,Vomiting,Diarrhea,Itching,Bone pain,Swelling,Difficulty swallowing,Shortness of breath,Thickened skin,Gas
Appendicitis,Burning,Body aches,Nausea,Hard lumps,Nosebleeds,Frequent urination,Constipation,Vomiting,Loss of height,Diarrhea,Bloating,Swelling,Bone pain,Tender abdomen,Irritability,Shortness of breath,Anemia
Eczema,Redness,Headache,Difficulty sleeping,Nausea,Loss of smell,Loss of automatic movements,Pain during urination,Fatigue,Poor judgment,Vomiting,Itching,Diarrhea,Bone pain,Persistent cough,Blisters,Shortness of breath,Swollen lymph nodes
Heart Disease,Rash,Nausea,Increased mucus production,Loss of taste,Increased thirst,Misplacing things,Belching,Itching,Change in existing mole,Chest discomfort,Vomiting,Bone pain,Bone fractures,Blisters,Shortness of breath,Thickened skin,Sore that doesn’t heal
Ulcerative Colitis,Increased mucus production,Neck stiffness,Withdrawal from work,Itching,Slight fever,Diarrhea,Bloating,Bone pain,Bone fractures,Vomiting,Numbness,Body aches,Difficulty swallowing,Tophi,Shortness of breath,Hunger,Sore that doesn’t heal
Pneumonia,Severe headache,Swollen joints,Throbbing pain,Nausea,Nosebleeds,Misplacing things,Constipation,Unconsciousness,Chest discomfort,Vomiting,Diarrhea,Difficulty performing familiar tasks,Swelling,Bloating,Numbness,Shortness of breath,Sore that doesn’t heal
Pneumonia,Swollen joints,Soreness,Change in bowel habits,Nausea,Nosebleeds,Neck stiffness,Vomiting,Chest discomfort,Diarrhea,Skin infections,Difficulty performing familiar tasks,Bone fractures,Tenderness,Bloating,Difficulty swallowing,Shortness of breath,Anemia
Celiac Disease,Blood in stool,Bowel issues,Inability to defecate,Sneezing,Nausea,Tremor,Constipation,Frequent urination,Unexplained fevers,Vomiting,Diarrhea,Bloating,Irritability,Difficulty swallowing,Shortness of breath,Anemia,Sore that doesn’t heal
Eczema,Severe headache,Bowel issues,Swollen joints,Fear,Aura,Difficulty sleeping,Nausea,Tremor,Reduced appetite,Itching,Vomiting,Receding gums,Change in existing mole,Bone pain,Swelling,Diarrhea,Thickened skin
Pneumonia,Soreness,Rash,Anemia,Nosebleeds,Reduced appetite,Vomiting,Itching,Diarrhea,Bloating,Difficulty thinking,Mucus production,Bone fractures,Swelling,Difficulty swallowing,Shortness of breath,Thickened skin,Hunger
Common Cold,Redness,Swollen joints,Pneumonia,Burning,Nosebleeds,Unexplained fevers,Itching,Vomiting,Receding gums,Skin infections,Swelling,Bone pain,Shortness of breath,Irritability,Loss of taste,Thickened skin,Gas
Lymphoma,Severe headache,Nausea,Nosebleeds,Neck stiffness,Fullness,Fatigue,Itching,Vomiting,Congestion,Skin infections,Bloating,Mucus production,Stiff joints,Bladder issues,Difficulty swallowing,Shortness of breath,Anemia
Ulcerative Colitis,Nosebleeds,Frequent urination,Loss of smell,Unexplained fevers,Withdrawal from work,Chest discomfort,Loss of height,Diarrhea,Difficulty performing familiar tasks,Morning stiffness,Bloating,Swelling,Tenderness,Vomiting,Numbness,Shortness of breath,Thickened skin
Celiac Disease,Blood in stool,Inability to defecate,Soreness,Nausea,Coughing up blood,Belching,Jaw pain,Vomiting,Diarrhea,Bloating,Morning stiffness,Bone fractures,Swelling,Tophi,Shortness of breath,Thickened skin,Anemia
Irritable Bowel Syndrome,Redness,Sneezing,Nausea,Tremor,Constipation,Belching,Fatigue,Easy bruising,Change in existing mole,Anxiety,Diarrhea,Skin infections,Difficulty performing familiar tasks,Problems with words,Stiff joints,Tophi,Shortness of breath
Parkinson's Disease,Severe headache,Stooped posture,Burning,Rash,Nosebleeds,Frequent urination,Loss of smell,Unexplained fevers,Vomiting,Itching,Diarrhea,Bloating,Difficulty thinking,Morning stiffness,Tenderness,Numbness,Anemia
Hepatitis C,Blood in stool,Fear,Difficulty sleeping,Nosebleeds,Loss of taste,Neck stiffness,Frequent urination,Reduced appetite,Vomiting,Diarrhea,Tender abdomen,Difficulty thinking,Bone fractures,Swelling,Bloating,Shortness of breath,Anemia
Alzheimer's Disease,Soreness,Nausea,Hard lumps,Nosebleeds,Loss of smell,Withdrawal from work,Reduced appetite,Itching,Loss of height,Diarrhea,Change in existing mole,Difficulty thinking,Swelling,Vomiting,Bloating,Numbness,Sore that doesn’t heal
Influenza,Severe headache,Bowel issues,Chest pain,Nausea,Nosebleeds,Increased mucus production,Loss of smell,Jaw pain,Pain during urination,Fatigue,Vomiting,Itching,Loss of height,Stiff joints,Bone fractures,Anemia,Skin changes
Stroke,Severe headache,Bowel issues,Soreness,Fear,Redness,Difficulty sleeping,Hard lumps,Frequent urination,Vomiting,Chest discomfort,Diarrhea,Itching,Difficulty thinking,Bone pain,Swelling,Tophi,Blisters
